sample_id,duration_wpau,duration_wopau,mean_speed_wpau_m1,mean_speed_wopau_m1,mean_speed_wpau_m2,mean_speed_wopau_m2,amount_phones,amount_silences
DR1_CJF0_SA1,2.596,2.596,13.097072419106317,13.222497690924119,13.61139468183365,13.222497690924119,34,3
DR1_CJF0_SA2,1.9291875,1.9291875,15.032235073055366,15.032235073055368,15.032235073055366,15.032235073055366,29,2
DR1_CJF0_SI1027,2.81675,2.81675,14.910801455578238,15.004688965301654,15.361943464475504,15.004688965301654,42,3
DR1_CJF0_SI1657,2.585,2.585,13.926499032882012,14.09829645584492,14.489915801840612,14.098296455844919,36,3
DR1_CJF0_SI648,3.3971875,3.3971875,15.306779505105327,15.306779505105325,15.306779505105323,15.306779505105323,52,2
DR1_CJF0_SX127,1.2780625,1.2780625,17.99599002396205,17.995990023962058,17.995990023962058,17.995990023962058,23,2
DR1_CJF0_SX217,1.4231875,1.4231875,14.755610205963725,14.755610205963725,14.755610205963725,14.755610205963725,21,2
DR1_CJF0_SX307,1.1829375,1.1829375,15.216357584403234,15.887902024604182,16.770563248193305,15.88790202460418,18,3
DR1_CJF0_SX37,1.971875,1.971875,20.28526148969889,20.28526148969889,20.28526148969889,20.28526148969889,40,2
DR1_CJF0_SX397,2.18375,2.18375,13.737836290784202,13.7378362907842,13.7378362907842,13.7378362907842,30,2
DR1_CPM0_SA1,2.7685625,2.7685625,13.00313791001648,13.003137910016479,13.003137910016477,13.003137910016477,36,2
DR1_CPM0_SA2,2.222875,2.222875,14.84563909351628,15.163699023549684,15.623205054566341,15.163699023549684,33,3
DR1_CPM0_SI1194,2.5154375,2.5154375,14.7091708698785,15.256552328428215,15.668891580547898,15.256552328428217,37,3
DR1_CPM0_SI1824,3.8785,3.8785,13.922908340853423,14.21941344919522,14.482735920476614,14.219413449195223,54,3
DR1_CPM0_SI564,3.5469375,3.5469375,11.277334320100087,12.142599654694823,12.749729637429565,12.142599654694823,40,4
DR1_CPM0_SX114,2.3834375,2.3834375,15.104234954765964,15.10423495476596,15.10423495476596,15.10423495476596,36,2
DR1_CPM0_SX204,2.0888125,2.0888125,13.883486430687293,13.883486430687293,13.883486430687293,13.883486430687293,29,2
