0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
12.004189,12.008039,12.019213,10.883532,11.781088,11.685436,10.8835535,11.6716175,11.561955,11.030123,8.819788,5.647172,3.3884668,2.1793773,1.2802682,0.62503535,-0.41845816,-0.97428215,-1.3518314,-1.4255952,-1.2858833,-0.8680644,0.14758831,1.1449167,1.6468863,1.8544164,2.4064898,2.5571322,1.9900683,0.8122304,0.7899616,0.81278574,0.78075194,0.68130744,0.61738425,0.6139969,1.4664419,4.330514,5.324774,5.7525187,3.9149768,2.796199,2.339901,1.8110491,1.0678176,1.0800151,2.431176,2.6764657,1.8433387,0.9249254,0.60686016,0.250072,0.030639559,-0.0060492083,0.48147118,0.88868797,1.4667046,2.3092399,2.9649076,2.7759576,2.7046742,2.5713763,2.6904306,2.7679462,2.9451315,3.1689146,3.5737586,3.4032736,3.2208438,2.3033638,1.1875749,0.035485703,-0.20755929,0.12961487,0.21744516,0.26147333,0.12564811,0.011574715,-0.07619806,-0.21958837,-0.28390133,-0.38836178,-0.042888105,0.5716397,1.1749647,1.3375332,0.8516637,-0.062329415,-0.33514708,0.12418166,0.24097273,0.52726144,0.8277378,1.2743425,1.3884627,1.5227958,1.4828699,1.1606228,0.40616786,0.52509874,0.5959585,0.97232497,1.2119073,1.2660888,1.4222553,1.3197076,1.5395752,1.9569231,2.5902944,3.6846178,5.0417767,6.686991,7.488865,7.052484,6.598274,6.316049,6.105516,6.1524963,5.904669,5.0952144,3.9960527,2.4188752,1.3260221,0.60727775,0.33178404,0.2086736,0.18836512,0.13165218,0.124568574,0.08082946,0.003310808,0.020157993,0.011505922,-0.034357607,-0.06363666,0.0069994703,0.12956323,0.22438058,0.27191016,0.5069772,1.271802,2.3133032,2.7279243,2.6856031,1.8681289,0.62313783,0.096716,0.07726145,0.3171158,0.68536055,0.45925513,0.292829,0.18606511,-0.069185525,-0.07044786,0.0836043,0.5518824,1.2664112,2.2946515,3.2217383,3.4771295,3.8032577,3.887617,3.6559863,3.7473538,3.4967115,2.3806825,1.5224504,1.3748477,1.6658666,2.3741531,3.0486503,3.909285,4.342209,5.155358,6.3378105,7.215784,7.9729295,8.570805,9.03553,9.320139,9.890499,10.213953,10.832273,11.820975,12.205637,12.474986,10.883481,10.883735,10.883416
-2.5113962,-2.4731517,-2.441445,-1.3637841,-2.3089013,-2.187247,-1.3638027,-2.189815,-2.1965566,-2.1436977,-1.6030266,-1.6881927,-1.6618857,-1.4154326,-1.0507303,-0.8830638,-0.43310142,-0.35324425,-0.44191855,-0.6434051,-0.95067006,-1.4817296,-1.9276967,-2.1550984,-2.2873125,-2.257624,-2.0880659,-2.1720133,-2.3581865,-1.976196,-1.8380876,-1.9145085,-1.8607728,-1.5641949,-1.3268721,-1.3541999,-1.8920553,-2.1013558,-2.0421147,-1.9876066,-1.7343764,-1.6926417,-1.5560181,-0.10834737,5.7582445,9.819799,11.154706,11.057274,10.758313,10.0153265,9.196662,8.177265,6.5936565,3.6449642,1.6623982,0.8968147,-0.2628814,-1.307424,-1.618079,-1.4709232,-1.1595546,-0.7814456,-0.5074414,-0.28392208,-0.26838908,-0.25892466,-0.37365946,-0.21494687,-0.092888474,0.18559387,0.32299635,0.23398429,-0.22486436,-0.8898007,-1.2347009,-1.3016158,-1.2939583,-1.2319497,-1.2079587,-1.2721075,-1.5884004,-1.6088791,-1.8259777,-2.060278,-2.239579,-2.2760863,-2.2276745,-1.7811422,-1.4958196,-2.0826244,-3.0164251,-2.882719,-2.3376274,-1.9378293,-1.3867307,-1.0635606,-1.3492355,-1.6377014,-2.3123462,-2.8246074,-3.119325,-2.6148605,-1.9301212,-1.6378043,-1.5981911,-1.8047928,-1.8917185,-1.7958446,-1.679592,-1.8651724,-2.0574048,-2.7915807,-3.6166654,-3.8559585,-3.8563297,-3.7510304,-3.5225008,-3.3391306,-3.1833487,-2.9656277,-2.7507577,-2.845483,-2.9607592,-2.875425,-2.4098659,-1.9746861,-1.8676505,-1.8462448,-1.8357191,-1.8431175,-1.8507864,-1.8668399,-1.8681324,-1.8401272,-1.8085518,-1.6523964,-1.4071662,-1.0623636,-0.7263403,-0.7459731,-1.1122987,-1.2892299,-1.6941415,-1.9235784,-1.7718303,-1.4056144,-1.439713,-1.4594129,-1.6146196,-1.652566,-1.8222109,-1.9211891,-1.9816808,-1.2339714,-0.3699385,-0.08776705,0.0006684959,0.00078798085,-0.42365688,-1.2813965,-1.8288708,-2.3225942,-2.5068927,-2.5429902,-2.6456308,-2.6849303,-2.6457186,-2.5484393,-2.4095168,-1.9448683,-1.5562056,-1.4743515,-1.1608274,-0.9867421,-1.1928385,-1.0986445,-1.0135053,-1.1036534,-1.5971802,-2.1368327,-2.3459063,-2.5450764,-2.702147,-2.825867,-3.0262675,-2.8347383,-2.6533732,-1.3637899,-1.3638618,-1.3637695
-0.4252851,-0.46931636,-0.4297849,-0.4837979,-0.47224575,-0.5171862,-0.48379576,-0.58483464,-0.6941483,-0.7991473,-0.5741299,0.28090596,0.39076975,0.5133476,0.13612258,-0.62771845,-1.1866882,-1.3584628,-1.3764412,-1.4876145,-1.484453,-1.3616686,-1.4142832,-1.9091618,-2.1821523,-2.162612,-2.271628,-2.5730596,-2.739843,-2.026185,-1.2400719,-0.93820876,-0.90327317,-1.133333,-0.79254687,-0.021915123,0.46840167,0.49266744,0.36718386,-0.16702239,-0.42903054,-0.106562816,0.1495068,-0.94402426,-2.0046778,-2.2205238,-2.361718,-2.6976745,-3.0634532,-2.7993503,-2.4713843,-2.4455929,-2.468505,-2.5567126,-2.634053,-2.6279464,-2.523521,-2.3694265,-2.2699618,-2.3965483,-2.591041,-2.7182322,-2.785545,-2.8711176,-2.914576,-2.9890404,-3.0111887,-2.980741,-2.554831,-1.6911845,-1.3390206,-1.3558639,-1.4635837,-2.0323858,-2.6545234,-2.9838228,-3.0930915,-3.1575155,-3.1492672,-2.9537435,-2.2830443,-1.3763266,-1.0024672,-0.6871512,-0.3313214,-0.21702896,-0.31036514,-0.49644563,-0.73450375,-1.2649503,-1.5769902,-1.9509499,-1.7802112,-1.4842919,-1.353006,-1.0863538,-1.0108899,-1.163628,-1.9416597,-2.159556,-2.5358672,-2.714128,-2.0392447,-1.4547656,-1.4191229,-1.6131968,-1.9919415,-2.4352617,-2.7333243,-2.5702825,-2.3750467,-2.214497,-2.3873641,-1.9873736,-1.8332922,-1.8571672,-1.8319294,-1.7366462,-1.6618817,-1.6232355,-1.4880688,-1.3121709,-0.9550756,-0.9423877,-1.8623534,-2.0940554,-1.9644248,-1.8573755,-1.8466271,-1.7750552,-1.7273479,-1.7313528,-1.6891,-1.7008154,-1.800601,-1.8662052,-1.8847988,-1.8632411,-1.7867069,-1.7264597,-2.113815,-2.0046244,-1.5620904,-1.2000269,-0.9581239,-0.88253546,-0.89602447,-1.1122057,-1.5364004,-1.9298605,-2.1740086,-2.1916938,-2.0415328,-2.5401902,-3.1058912,-3.1666563,-2.8757255,-2.3999166,-1.9355361,-1.4897221,-0.9594816,-0.4336954,-0.1225003,0.17103787,0.35462898,0.5330827,-0.09324917,-1.2353208,-1.7315385,-2.3738177,-2.9945593,-3.178709,-3.337288,-3.2338428,-3.0544856,-2.9468956,-2.9094412,-2.988054,-3.0219922,-2.959351,-2.8816926,-2.7362704,-2.6273093,-2.4020872,-2.1554058,-1.9757614,-1.8537903,-0.4838344,-0.4838975,-0.48381022
-2.3825827,-2.3597672,-2.3325248,-0.31559142,-2.1634595,-1.9835601,-0.31560665,-1.8555238,-1.8440471,-1.712724,-1.0888078,-0.4299423,-0.055358946,0.5076554,1.1000519,1.3019654,0.9390327,0.5872972,0.20623666,-0.06310636,-0.22328186,-0.55604565,-1.0808909,-1.3661584,-1.5377764,-1.4973713,-1.0411195,-0.87639797,-0.9751243,-1.2847431,-1.4808247,-1.6094598,-1.5629885,-1.1684022,-0.3707819,0.38984296,0.44245145,0.07890253,-0.028186798,-0.09254728,0.62739134,0.621516,0.72033226,0.053890526,-0.39639348,-0.13376015,0.2982122,0.032758474,-0.09264514,0.2126568,0.31177592,0.50027424,0.672899,1.1277176,2.0146108,3.5032616,5.3323183,6.899126,7.644943,8.433409,9.046936,9.673279,10.084213,10.323111,10.28079,10.216633,10.164314,10.596977,11.2648945,11.886818,11.907883,10.733723,8.294301,5.4123497,2.7940574,1.1900772,0.5906709,0.18398626,-0.2863239,-0.6825216,-1.2556727,-1.413991,-1.4467413,-1.3928292,-1.3804162,-1.4697502,-1.1039739,-0.17381072,0.38541988,-0.03679484,-0.7912209,-1.0433441,-0.24570584,0.34333268,0.70726085,1.1087581,0.956578,0.7693464,0.2231508,-0.17875183,-0.6675735,-0.75715494,-0.83896095,-0.6873895,-0.63739437,-0.8186714,-1.0119243,-1.1945409,-1.330502,-1.4860226,-1.2472461,-1.4464302,-2.1801915,-2.7111099,-2.8242757,-2.807965,-2.872217,-2.8790388,-2.827614,-2.8164916,-2.6493487,-2.2259204,-1.649378,-0.68131316,-0.17431171,-0.010106593,0.112463936,0.1859604,0.20575705,0.27714562,0.32339197,0.32725722,0.37935176,0.47131982,0.55503476,0.92843246,1.8224064,3.6086998,6.351573,8.71137,10.257147,10.886658,10.551367,9.989208,9.572891,9.402279,8.527397,7.7218914,6.208852,4.8741302,3.671883,2.9638755,2.2889624,1.821485,1.9411266,2.087684,2.0455751,1.1373184,0.0843121,-0.9151274,-1.7705677,-2.336584,-2.6486275,-2.644619,-2.6256976,-2.380899,-1.7742503,-1.2122474,-1.0686231,-1.0610049,-1.0082147,-1.0316781,-0.71725225,-0.94555616,-1.609172,-1.795177,-1.7891123,-1.848252,-2.0441327,-2.1441898,-2.0640771,-1.8937256,-1.9515631,-2.0592735,-2.2497334,-2.1530762,-2.2212594,-0.31560892,-0.3156364,-0.3155923
-1.3753473,-1.435912,-1.5575984,0.3954958,-1.7175915,-1.8968225,0.39550257,-1.9519403,-1.8549823,-1.703718,-1.2120664,-0.9968811,-0.89735794,-0.9971534,-0.938138,-0.9223947,-0.93368363,-1.0779488,-1.282682,-1.3153656,-1.2270421,-0.8922583,-0.3294617,-0.1097358,-0.21362695,-0.5635083,-0.48555002,0.7676542,3.2595327,7.1526947,8.921625,9.870346,10.835548,11.456513,11.329802,10.107243,7.659013,4.0389447,2.1144242,-0.23336455,-0.28610414,-0.31879506,-0.38808534,0.33342642,1.0496974,-0.043999195,-0.6192404,0.115667716,0.9837681,0.9673724,0.6170291,0.74963284,1.0026803,1.4413847,1.6318483,1.4103713,0.96916395,0.43333247,0.2686056,0.21187088,0.18619268,0.13040262,0.16869973,0.20885555,0.2320405,0.25916153,0.26451927,0.25306386,-0.096217915,-0.87539744,-1.4747901,-1.6109604,-1.1019583,0.023992814,1.1479574,1.7130007,1.9722104,2.1706228,2.472156,2.6772356,2.6761458,1.3674431,-0.43762648,-1.4004747,-1.9023261,-1.8112955,-1.7405982,-1.7493302,-1.4987584,-0.49022526,1.2403343,1.9359833,1.0973014,0.014269158,-0.5421088,-1.0603447,-0.96248686,-0.7599916,-0.26295847,0.2321896,1.2177179,1.228379,0.06465921,-0.9985916,-1.5372437,-1.3980415,-1.3448616,-1.3103112,-1.6203946,-1.8445668,-2.1427073,-1.6574118,-0.37250564,0.28235406,0.6786089,0.81510884,1.1850771,1.4528335,1.6459022,1.3906833,0.6330291,0.068749145,-0.074461326,-0.26125282,0.46873528,1.1573215,1.4821692,1.5507128,1.6053896,1.5706667,1.5561054,1.5816641,1.619966,1.6916006,1.7545722,1.8727133,2.0814993,2.1173317,1.999151,1.6953495,1.1356504,0.19991666,0.31819344,0.1682373,-0.1752906,-0.75024724,-0.7512227,-0.43299058,0.07284027,0.38683963,0.79344594,1.1383811,1.4712751,1.72189,1.1895218,0.5840858,-0.1783379,-0.5718117,-0.67393047,-0.8251715,-1.0780604,-1.2298914,-1.4362326,-1.6702497,-1.8755462,-2.206226,-2.4368472,-2.242827,-2.0168338,-1.4511597,-1.0469495,-0.9505442,-1.0426507,-0.9522068,-0.94882286,-1.0411903,-0.92450655,-0.64638543,-0.282681,-0.082924336,0.015717251,-0.22685137,-0.3314752,-0.37891683,-0.2000241,-0.2089422,-0.10464439,0.39555395,0.39565527,0.3955226
-2.9222722,-2.9608579,-3.0811625,-1.4293816,-3.1976027,-3.1349669,-1.4294103,-3.0595365,-3.0540738,-2.9123678,-2.1831348,-1.2919579,-1.0020269,-0.8460504,-0.7469276,-0.9830515,-1.370101,-1.263905,-0.45627287,0.9977969,2.9029613,5.788574,8.3595295,9.126729,9.348809,9.044029,7.811813,6.6919317,5.1500573,1.2446271,-0.90400934,-1.4562321,-1.3658912,-1.0034055,-1.0372663,-1.6277034,-1.956812,-2.1927953,-1.9567742,-1.4572401,-1.0232282,-1.0161784,-1.5656972,-2.1928835,-2.3556588,-1.6425061,-1.1120172,-1.3778456,-1.7921343,-1.9883163,-2.1224875,-1.9128118,-1.4879062,-0.5589689,0.12891167,0.31107166,0.11972879,-6.993115e-05,-0.10028839,-0.15196903,-0.30655086,-0.42371145,-0.5332049,-0.7163214,-0.9297184,-1.1147456,-1.2227768,-1.1268249,-0.6489706,0.136728,0.5195969,0.4537105,-0.55066115,-0.9758305,-0.76649314,-0.4989944,-0.33880222,-0.24418393,-0.10347761,-0.23097938,-0.8441622,-1.6456578,-1.6991485,-1.4589617,-1.2185693,0.3905437,3.7533655,7.3483057,8.959404,9.138424,7.912282,5.365443,2.675486,0.6594782,0.16293988,0.0016889572,0.16223067,0.4094376,1.5991323,1.8163247,1.1703702,0.52561414,0.068418965,-0.25126535,-0.6553658,-0.6316636,-0.6545977,-0.3024373,0.3410945,0.078289084,-0.5031672,-1.7095327,-2.9369845,-3.417885,-3.413176,-3.269903,-3.1246574,-2.8923283,-2.8334718,-2.611594,-1.9753513,-1.1534064,-1.0200285,-1.069928,-0.92882466,-0.6062469,-0.40735114,-0.3285641,-0.26703274,-0.13798986,-0.027234152,0.07157591,0.23691177,0.35885543,0.36358023,0.45341298,0.54548836,0.7047868,0.7155375,0.2813654,0.5418727,0.7748811,0.120168805,0.26022065,0.22869441,0.75208956,1.5717398,2.112156,2.918532,4.3132224,5.670779,6.3446274,7.118541,7.443756,6.940112,6.386511,5.645788,4.612611,3.4313173,1.2125219,-0.81088877,-1.9616134,-2.528565,-2.7788448,-2.74589,-2.1633046,-1.2759032,-0.77181375,-0.50046754,0.0063281655,0.14663553,0.15595087,0.053828508,-0.20808712,-0.47658038,-0.71876633,-0.8873354,-1.0058748,-1.1571116,-1.3390961,-1.3202105,-1.1427374,-1.0584365,-0.9100676,-1.065616,-1.3349895,-1.9078295,-1.4293444,-1.4294245,-1.4293197
-0.40019184,-0.4316959,-0.5671742,-0.5765883,-0.55142856,-0.4781747,-0.5765996,-0.45128822,-0.40623882,-0.25372276,-0.13079539,-0.65991056,-0.57722074,-0.5546001,-0.043407172,1.4568108,3.288477,4.489064,5.25696,5.415221,5.169024,4.465905,3.3927188,2.4119105,1.6797454,0.9539368,-0.11104132,-0.47127795,-0.37795392,-0.27826235,-0.38685638,-0.41274822,-0.31392455,-0.24686082,-0.49468684,-0.7274517,-0.62662375,-0.9562304,-1.4507961,-1.8525465,-1.2098038,-0.8654326,-0.9640473,-1.2340478,-0.90431273,-0.5225996,-0.76123804,-1.0699506,-0.9668493,-0.35532647,0.20431721,0.56883013,0.7782441,0.88552314,0.59202445,0.21508335,-0.47220755,-0.86199605,-0.9175321,-0.73008037,-0.5196928,-0.36681435,-0.25281087,-0.1052832,-0.09258941,0.014266565,-0.078223705,-0.06886846,-0.24369004,-0.29030323,-0.28239638,-0.11473942,-0.15939344,-0.11216703,0.017466113,0.04181625,0.069602415,0.07617165,0.03372871,-0.13975564,-0.36498383,-0.19909692,-0.18421422,-0.43177673,-0.66506535,-0.5226457,-0.04529217,0.069404215,-0.22732809,-0.36830068,-0.208256,-0.27954307,-0.44120342,-0.34430662,-0.3857867,-0.80261785,-1.0804775,-0.969151,-0.42042884,-0.23864038,-0.17727442,-0.20474145,-0.19673198,-0.1869262,-0.39735124,-0.38075468,-0.40051576,-0.3668109,-0.5323288,-1.1848855,-0.9918722,-0.69297576,-0.94979906,-1.458213,-1.7020563,-1.760658,-1.7871529,-1.7471654,-1.7321514,-1.5051255,-1.2949774,-0.81872296,-0.9160422,-0.9497522,-0.3990299,-0.23857327,-0.45937222,-0.6039529,-0.6408158,-0.6412467,-0.6438184,-0.6363188,-0.6661128,-0.7740134,-0.8303918,-0.78303635,-0.724418,-0.6940106,-0.74277127,-0.8896805,-1.1592846,-1.4915445,-1.7603022,-1.9273964,-1.8207002,-1.3562593,-1.1090964,-1.0750726,-0.99522054,-0.7717687,-0.48820317,-0.42139506,-0.47345644,-0.66704184,-1.0477268,-1.3515548,-1.8432493,-2.2615638,-2.4651597,-2.0333383,-1.5837325,-1.3657486,-1.0280018,-0.7277267,-0.19514087,0.7001506,2.5677414,5.1514554,6.074194,6.850045,6.9447665,6.694872,6.2039113,5.8534794,5.378768,4.7562733,4.219982,3.6415968,3.3315368,3.2353542,2.9313369,2.5203495,2.2209282,1.4453573,-0.00620877,-0.40272868,-0.66907585,-0.5766159,-0.57654566,-0.5766262
-1.2385619,-1.239342,-1.2728261,0.052274168,-1.190211,-1.104678,0.052251697,-1.1724235,-1.1203678,-0.93207264,-0.6405368,-0.40102735,0.011359453,0.39310044,1.0612605,1.0537238,0.49435633,0.28464976,0.036650136,-0.34133977,-0.86066544,-1.6488104,-1.6366202,-0.3215741,0.110601455,0.40298957,0.9104325,1.0720447,0.92247736,0.6034678,0.18297142,-0.08760235,-0.10560894,0.30721888,0.71583056,0.3967699,0.079198405,0.07730177,0.28316635,0.30863747,0.7103857,0.4109622,-0.3008065,-0.7609834,0.82351184,2.9819107,4.3598766,4.0342712,3.5445788,3.5075264,3.2198005,2.9713714,2.5715485,1.9641637,1.6944907,1.8591297,1.8772906,1.2836843,0.67377126,0.48630512,0.49493706,0.65015996,0.8175655,0.8188798,0.63275546,0.45903015,0.40186772,0.5993834,0.55857325,0.4848376,0.7089273,0.7473417,0.5774005,0.62955415,0.46715686,0.5321742,0.59375787,0.72143537,0.6474843,0.32320163,-0.7108591,-2.008837,-2.370605,-2.248264,-2.0826783,-1.6017607,-0.8239367,-0.035165906,0.60586387,0.6818354,-0.39935195,-0.3139814,0.24816039,0.32196027,0.22341612,0.21125656,-0.111942455,-0.3556128,-0.43493134,-0.63684654,-0.79610825,0.2590182,1.07503,1.1532272,1.1279979,0.78487563,0.60161924,0.8825084,1.3198335,1.1607304,0.5049381,-0.32968047,-0.652824,-0.96476525,-1.2374458,-1.078358,-0.8310944,-0.6235142,-0.2689166,0.18430664,0.4153015,-0.04353994,-0.35084304,-0.37501118,-0.1667875,0.05909258,0.15939534,0.24012756,0.22854865,0.20789486,0.19056535,0.12190473,0.07870561,0.1615693,0.24833626,0.3823508,0.644457,1.1039321,1.4891199,1.4854364,1.8566751,2.181837,1.7819232,0.97211844,0.36212233,0.28565374,0.20004526,0.2123478,0.07482067,0.004690945,-0.10907152,-0.010595918,0.4025417,3.4431093,6.154113,7.245492,7.940134,8.108189,7.520963,6.3056903,4.4939966,2.671914,1.3273234,0.5167474,-0.22755423,-0.5773647,-0.30990756,-0.033320576,0.054657724,0.29752398,0.5495371,0.5552308,0.8947811,0.892276,0.5213796,0.5134697,0.64691746,0.5994281,0.30443737,-0.10368906,-0.11849806,-0.1362086,-0.43996114,-0.79729927,-1.0993528,-1.0598545,-1.0066264,0.052285314,0.052243233,0.05229801
-0.45064518,-0.44311094,-0.47268033,-1.9060735,-0.41520542,-0.3996241,-1.9060726,-0.26331875,-0.21256879,-0.29462567,-0.55606353,-0.16479608,0.16470075,0.3276769,1.1378605,2.489628,2.7928786,2.475161,2.0905733,1.882024,1.5420086,0.8042871,-0.30331004,-0.6941998,-0.5334888,-0.6299974,-0.7843163,-0.8746327,-0.9604648,-0.7357466,-0.77223563,-0.672722,-0.4560107,-0.3735148,-0.8395926,-1.3501017,-1.8344021,-2.0672007,-2.2003117,-1.8734719,-1.7882416,-1.707478,-1.2596397,-0.12841755,-0.00025442243,-0.2560882,-0.20808214,0.28980672,0.46629906,0.024838552,-0.30795482,-0.7188306,-0.9173633,-0.73943996,-0.5111742,-0.38143966,-0.15561661,0.15767398,0.28788826,0.56925833,0.9342586,1.2056419,1.3416557,1.6393821,1.960107,2.227476,1.9802424,1.6493757,0.8762497,0.10933412,-0.28216952,0.011658731,0.48603666,1.069838,1.5911214,1.6635523,1.6552154,1.636147,1.6034467,1.4669464,1.0263637,0.69047105,0.3321051,-0.14448583,-0.53514993,-0.82921064,-1.3575282,-2.2501607,-2.7371557,-1.9993149,-0.8389407,-0.38871893,-0.942266,-1.8325856,-1.8809216,-1.729164,-1.6852608,-1.5505674,-1.1355052,-1.0535532,-0.9534824,-0.6470546,-0.76320696,-1.063286,-1.0419086,-1.1258951,-0.9462489,-0.32717752,0.34292275,0.49768096,-0.06356377,-0.82041824,-1.2189008,-1.2936193,-1.2114568,-1.0097657,-0.7708323,-0.68878204,-0.682917,-0.77610695,-0.70714664,-0.26403666,-0.23654282,-0.45188975,-0.10202217,-0.047741354,-0.2732042,-0.36245742,-0.3336637,-0.35191616,-0.35786766,-0.29729378,-0.2471658,-0.15010199,0.019449115,0.2205376,0.35588133,0.3493861,0.02228649,-0.28386605,-0.88587904,-1.2894402,-1.4647672,-1.436184,-1.6454751,-1.8713673,-2.130359,-1.9589581,-1.4074676,-1.1776335,-1.2574092,-1.3958677,-1.4433872,-1.0022172,-0.70761895,-0.6890135,-0.9823325,-1.5005629,-1.9518545,-2.202021,-2.262887,-2.1753368,-1.8645335,-1.6409049,-1.2205838,-0.59460545,0.55085295,2.285438,2.7700853,2.95057,2.8877518,2.6919723,2.4731698,2.454647,2.2057333,1.8976848,1.4028168,0.95562565,0.24753916,-0.114982784,-0.4591558,-0.8746927,-1.0972441,-1.4906164,-2.1118453,-2.264674,-2.0066376,-1.9060841,-1.9061383,-1.9060637
-3.7556357,-3.694993,-3.5985494,-3.358717,-3.5260139,-3.5724044,-3.3587127,-3.6677103,-3.7025125,-3.711648,-3.2841625,-3.4318569,-3.4983683,-3.4793491,-3.2384205,-2.7571425,-1.7783772,-1.1324611,-0.43584162,0.13402204,0.5368012,0.8872005,0.38440377,-0.7116768,-1.1494892,-1.5428753,-2.1447935,-2.1055927,-1.7653587,-1.3486813,-1.1835297,-1.1774175,-0.9841711,-0.6910599,-0.5259626,-0.63765347,-1.0950907,-2.0549364,-2.4615006,-2.7743568,-2.8549805,-3.1276956,-3.6505358,-3.805492,-2.634877,-2.323595,-2.143919,-1.8047265,-1.6376908,-1.3903433,-1.0656122,-0.5160955,0.0834648,0.985781,1.1883031,0.86061937,-0.12413216,-1.3714825,-1.9154648,-2.2494166,-2.540621,-2.813075,-3.0154643,-3.1661859,-3.2782626,-3.3428216,-3.3574367,-3.2966037,-3.0194008,-2.2934854,-2.1528897,-2.3391154,-2.8087027,-2.745277,-2.0611892,-1.6288577,-1.5136566,-1.417495,-1.3101594,-1.4149833,-1.7833916,-2.2196236,-2.6329653,-2.7710886,-2.5946603,-2.0666509,-1.3061112,-0.8106404,-1.2730676,-2.1746938,-1.3792713,-0.6133727,-0.8603225,-1.9014635,-2.4559247,-2.5406246,-2.3705094,-2.157544,-1.4846944,-1.5482523,-1.5537678,-1.5847065,-1.9070284,-2.1286116,-2.1529448,-2.2239256,-2.3550465,-2.2374854,-1.7977529,-1.9055033,-2.1235545,-2.5655475,-2.650145,-2.5499883,-2.3595166,-2.3731813,-2.1936116,-2.0370994,-1.8373003,-1.6599761,-1.633841,-1.3548083,-1.0986837,-0.5015247,0.5471762,1.222092,1.4103765,1.4282703,1.4248228,1.3590741,1.3394225,1.3259587,1.3467935,1.3752061,1.3979733,1.3419974,1.1864232,0.83365667,0.36633894,-0.3289455,-1.3428944,-2.3690658,-2.3229597,-1.5144044,-0.55011505,0.12940466,0.62482184,0.6826707,0.5925806,0.6971733,0.6696874,0.6353472,0.30759725,-0.49435282,-1.7954918,-2.5073082,-3.2071362,-3.3415358,-3.127931,-3.2941117,-3.3702545,-3.3690493,-3.2617557,-3.2278185,-3.30899,-3.505096,-3.602037,-3.4243255,-3.1768513,-2.3472075,-1.8325553,-1.7409537,-1.8461623,-1.794217,-1.746849,-1.7783828,-1.7561619,-1.7435986,-1.7021675,-1.8121686,-1.9476458,-2.404101,-2.6123757,-2.799146,-2.8668163,-2.888735,-2.8051267,-3.3586879,-3.3585596,-3.3587294
