0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
13.448517,13.494123,13.526348,13.567909,13.588279,12.219439,13.502,13.359981,13.198061,12.22002,10.843637,9.984155,8.056747,6.8085403,6.011222,5.8845234,5.378447,4.6657734,3.8249335,2.955989,2.078546,1.0767394,-0.59072244,-1.0546759,-1.1616064,-1.049498,-0.89339495,-0.44265902,-0.36689043,-0.013817549,0.8552413,2.3171964,3.960462,3.9038172,3.8106427,4.3307767,4.6102195,4.3246355,3.4428322,2.5431304,2.0762253,1.9023159,1.2700921,0.6360551,0.4404386,0.4372578,0.5763968,0.8538454,0.92772806,1.1131362,1.6500492,1.6797051,1.5575631,1.350733,1.3783011,1.3755002,1.5713736,1.8038863,2.0805788,1.7957382,1.569479,1.1228924,0.78151995,1.3480667,1.3811235,0.47441852,-0.27091935,-0.9523572,-1.380052,-1.6819882,-1.8412681,-1.7955632,-1.7683818,-1.6254936,-0.99199426,-0.3311908,-0.07126022,0.103711136,-0.0067510307,-0.41053453,-0.71340764,-0.54562205,-0.11015107,0.30577442,0.6144954,0.7856709,0.96367496,1.1700675,1.0165874,1.0201861,1.0992773,1.1444024,1.2423981,1.693648,1.9562011,2.1732671,2.57942,3.0749705,3.2151856,3.3867867,3.1254525,2.3337083,1.992485,1.5986497,0.93113387,0.4929335,0.1764371,-0.028121263,-0.15560788,-0.23287651,-0.25645387,-0.24343988,-0.15084398,-0.08806378,-0.03864664,0.09992939,0.29252297,0.44474116,0.6209056,0.763628,0.8796057,1.0151929,1.1944456,1.3599135,1.5255822,1.6573268,1.7751324,1.2113514,2.1182446,2.1721573,2.0045042,1.7464108,1.8028181,1.8844812,2.0066319,2.241861,2.9997406,3.8717961,4.015444,4.8149996,6.990741,8.423399,9.441056,10.810114,11.784618,12.767522,12.822285,12.99152,13.153439,12.215101,12.215674,12.215099
-3.1462002,-3.1289253,-3.1463554,-3.1405597,-3.0838926,-1.7908375,-3.0615387,-2.991459,-2.966338,-1.7916617,-2.9116673,-2.9145174,-2.9694154,-2.981161,-2.967749,-2.975698,-2.90511,-2.8147974,-2.6828465,-2.5185602,-2.4177032,-2.3765864,-2.4859626,-3.0783203,-2.8455582,-2.5708797,-2.1961267,-1.9554586,-1.8401453,-2.0788898,-2.5282428,-2.6319418,-2.7558885,-2.8198223,-2.698988,-2.8628745,-3.121685,-3.5198085,-3.417512,-3.4286382,-3.1071227,-2.8240442,-2.5211072,-2.3624592,-2.3391721,-2.0089817,-1.8536534,-1.9290763,-1.9884015,-2.173934,-2.4506204,-2.5058353,-2.5178006,-2.5109296,-2.4700809,-2.4579132,-2.4486084,-2.4170482,-2.3253562,-2.1862998,-2.2687943,-2.403812,-2.5114915,-2.687394,-2.3997538,-1.6981256,-1.2488136,-0.98338306,-0.8847158,-0.73716927,-0.63534284,-0.59091294,-0.56546026,-0.5772257,-0.5800997,-0.56358755,-0.4978665,-0.44633818,-0.43977496,-0.38794565,-0.3597799,-0.49011335,-0.5261234,-0.50635505,-0.5520296,-0.6813769,-0.8678472,-1.1757191,-1.3839841,-1.5841042,-1.8352182,-2.0264034,-1.9951966,-1.8241591,-1.5811594,-1.2352321,-0.9575664,-0.7263074,-0.41296208,-0.111724034,-0.092534736,-0.1619758,-0.15177569,-0.14847353,-0.09099509,-0.118587,0.029557616,0.29250622,0.4416746,0.3548257,0.24489704,0.18459028,0.10558972,0.024763674,-0.04467988,-0.1487625,-0.2275191,-0.31986305,-0.4213796,-0.5200375,-0.5653372,-0.6247178,-0.67910165,-0.7342263,-0.77684927,-0.7585298,-0.7142714,-1.0885444,-0.61963,0.011555582,0.27334523,0.5621135,0.7288637,0.79593945,0.8765017,0.78404474,0.60499465,0.40890425,0.35305813,0.2047365,0.093239546,0.040988803,-0.3283843,-1.1558857,-1.5787125,-1.7914768,-1.6705493,-1.7528948,-1.9596289,-1.786801,-1.7861086,-1.7866621
0.10771665,0.088469476,0.089148104,0.08085406,0.063945144,-0.31535128,-0.060953975,-0.20892832,-0.223178,-0.31502405,-0.8093087,-0.85044074,-1.1150746,-1.5273391,-1.7610061,-1.8629317,-1.983784,-2.015779,-1.9450386,-1.8741057,-1.8553143,-2.0117068,-1.9019725,-1.6132625,-2.2764382,-2.70502,-2.9322734,-3.0725517,-2.9587822,-2.2951508,-1.2997787,-1.1956807,-0.99914813,-1.1670192,-1.2056456,-1.241393,-1.0433908,-1.0193243,-1.37178,-2.136425,-2.531436,-2.6023474,-2.6690593,-2.7724938,-2.7828937,-2.915068,-2.682929,-2.2734547,-1.9517229,-1.664585,-1.0462278,-0.8254891,-0.98146355,-1.0589224,-1.042166,-1.031019,-1.0238299,-0.9637773,-0.7791691,-0.68328345,-0.78865516,-1.0697224,-1.2699143,-1.0907642,-1.2713764,-1.5100943,-1.4593067,-1.357044,-1.2510078,-1.1422551,-1.0370971,-0.9950715,-0.94977605,-0.8872309,-0.9845109,-1.0845739,-1.2738878,-1.3696535,-1.5259453,-1.4626331,-1.4340734,-1.7438881,-1.9770687,-2.0340555,-1.9799356,-1.8330321,-1.6884563,-1.790364,-1.9684393,-1.9800715,-1.9688487,-1.9255753,-2.0507436,-2.5176547,-2.8728642,-2.9875865,-2.8653767,-2.859724,-2.996522,-3.0945158,-2.7856374,-2.4957023,-2.6138234,-2.7339935,-2.9268856,-3.1220722,-3.1422925,-3.0730982,-2.935224,-2.7571504,-2.626738,-2.5431805,-2.4835563,-2.4072835,-2.3406157,-2.267919,-2.2064652,-2.1526802,-2.0675004,-1.9964094,-1.9609036,-1.9327414,-1.9226427,-1.957231,-2.068375,-2.135992,-1.9625711,-2.0008469,-1.8402367,-1.9085722,-2.1950216,-2.36901,-2.4490578,-2.3661125,-2.2176633,-2.1184802,-1.9369202,-1.866118,-2.0616326,-1.8190514,-1.6283624,-1.5902154,-1.4344678,-1.5137784,-1.2660847,-1.0233986,-1.107022,-0.97167397,-0.7619236,-0.3169288,-0.31785616,-0.3170499
-1.9900243,-1.9451923,-1.9244838,-1.9116756,-1.8583944,-0.53927815,-1.6841128,-1.408156,-1.393684,-0.5396076,-1.8308967,-1.73219,-1.5956544,-1.5910056,-1.641264,-1.5672432,-1.5253105,-1.4139361,-1.1809549,-0.94400626,-0.8029302,-0.9411447,-1.1640882,-1.4209657,-1.6681497,-1.6897482,-1.4384327,-1.0046285,-0.23124456,1.4690197,2.0308886,1.7048903,0.77066344,0.20969102,0.23345931,-0.08826752,-0.49491414,-0.85761833,-0.8101207,-0.7629123,-0.8152342,-0.79687613,-0.76690114,-0.9462879,-1.4263135,-1.6054366,-1.395544,-1.1897995,-1.2203559,-1.3556648,-1.6207409,-1.7263129,-1.8429323,-1.9585785,-1.9433,-1.947751,-1.9481282,-1.9346286,-1.8678812,-1.6228682,-1.3652326,-0.9167162,-0.40930656,-0.048254002,-0.19428681,-0.6648826,-0.7338883,-0.7830353,-0.8694424,-0.8709653,-0.87803984,-0.92991984,-0.98692477,-1.123775,-1.0629213,-0.896925,-0.8283411,-0.7947102,-0.8195925,-0.7675525,-0.7838957,-0.71794856,-0.34464607,0.1422964,0.796857,1.4362321,1.6854137,1.2537489,1.0693829,0.80052966,0.2786998,-0.5545325,-1.2979609,-2.174478,-2.5586784,-2.711824,-2.5539699,-2.3379822,-2.1051307,-1.7533327,-1.7571136,-1.6773672,-1.726336,-1.748599,-1.4661336,-1.0995325,-0.7777846,-0.64294404,-0.6448066,-0.7577623,-0.85032916,-0.9133172,-0.9484832,-0.9350413,-0.94141173,-0.9996097,-1.0571883,-1.0440788,-1.0173347,-1.0032709,-0.9932626,-1.0302165,-1.0982516,-1.1864748,-1.2990893,-1.1465559,-0.5534551,0.23687032,0.7342684,0.40166724,0.1790357,0.007136017,-0.035481066,-0.0587202,-0.13678288,-0.41606975,-0.6087415,-0.8904253,-0.8502644,-0.6978444,-0.2435063,0.45900935,0.6401304,0.16851592,-0.27315715,-0.6135454,-0.43160594,-0.6593081,-1.1173273,-0.5371807,-0.5368485,-0.5371281
1.221365,1.2320671,1.1795633,1.0988896,1.0005845,1.0293647,0.8589589,0.75681716,0.7639959,1.0292182,-0.49535847,-0.3689228,-0.32059646,-0.117177814,0.11145884,0.053288832,0.13577217,0.30361733,0.29956368,0.18376057,0.033278786,0.17785019,0.74095273,1.828659,2.8239553,2.9595833,2.787857,2.6783738,2.4266186,1.1268094,-0.6060134,-1.716978,-2.25229,-1.4987117,-1.3934152,-1.5559425,-1.7105594,-1.8036917,-1.691441,-1.2454178,-0.92523986,-0.7566924,-0.7271582,-0.5940494,-0.61982125,-0.3716662,-0.33492652,-0.65249735,-1.014322,-0.80611026,-0.6489938,-0.57004756,-0.53777456,-0.48532137,-0.52136815,-0.46830362,-0.574597,-0.6855783,-0.9091202,-1.0820888,-1.1531641,-1.3192973,-1.0673733,-0.8584541,-1.123313,-1.1171656,-1.1311007,-1.1740885,-1.2324898,-1.3224669,-1.39429,-1.4541028,-1.4415853,-1.3122053,-0.9633739,-0.75309587,-0.76429045,-0.83616054,-0.8680356,-0.9491539,-0.8129487,-0.60901296,-0.48453805,-0.47035912,-0.39882588,-0.31993282,-0.41524217,-0.51836365,-0.4279356,-0.44781148,-0.49083903,-0.36872566,0.00908605,0.68890727,0.95521736,0.8161734,0.31003648,-0.09794594,-0.095091775,-0.018426761,-0.13132122,-0.30805779,-0.69035226,-0.99596155,-0.94580674,-0.21117815,0.61982834,1.2703474,1.8942205,2.4213333,2.6853538,2.8580804,2.9949162,3.0913162,3.1690454,3.2853446,3.4225326,3.5204825,3.606337,3.7015672,3.7355695,3.8244233,3.9173894,4.0122404,4.0135646,3.7637243,3.1358485,1.5270741,-0.22133623,-0.53099626,0.032127798,0.45020345,0.65526646,0.42005876,0.12899137,0.107623905,0.2919978,0.59354746,0.9119961,0.9405781,1.0979946,0.9246776,1.0234307,1.102837,0.83263224,0.34966132,0.13631421,0.1137397,0.273737,1.0298612,1.0306033,1.0299643
-2.2566168,-2.274123,-2.2538404,-2.269977,-2.2768679,-2.0899472,-2.2433233,-2.0539181,-1.913887,-2.090461,-1.3377762,-1.17354,-1.1877413,-1.1303744,-1.0483844,-0.9940468,-0.9626377,-0.8582374,-0.7340683,-0.61701936,-0.39758855,-0.61925834,-1.5365539,-2.1426864,-1.5645463,-1.006215,-0.5462045,-0.36996877,-0.39370465,-0.75280404,-0.96412224,-1.1200619,-0.9360951,-0.6717845,-0.74355036,-0.91851616,-1.245108,-1.9731144,-2.457345,-2.511089,-2.3334386,-2.1545105,-1.7089405,-1.1773806,-1.2799623,-1.1379309,-0.8583943,-0.6345277,-0.5585942,-0.9352672,-1.4890296,-1.6345901,-1.675771,-1.7355403,-1.7060947,-1.6972415,-1.7012379,-1.7447779,-1.8320367,-1.714173,-1.4593382,-0.89469177,-0.4799849,-0.42859057,-0.16683358,0.021405518,0.03320217,-0.14281458,-0.29105192,-0.5060786,-0.6456393,-0.69899756,-0.8596165,-1.0152602,-1.1425738,-1.2009463,-1.1920114,-1.206585,-1.1973788,-0.8950459,-0.22009078,0.4403828,1.0106492,1.1902199,1.1915869,1.0557687,0.8680117,0.59573334,0.27659634,0.058660805,-0.027034283,-0.2983853,-0.7352408,-1.0633887,-1.3705355,-1.8412035,-2.2842808,-2.4728882,-2.3504114,-2.03787,-1.6933241,-1.1128261,-0.6289809,0.108093105,0.9083063,1.1947159,1.2037904,1.1448386,1.1855862,1.2782773,1.3103069,1.3542846,1.4325694,1.5758479,1.6160994,1.6263103,1.7050167,1.8882606,2.0544536,2.1445441,2.1733644,2.18026,2.1235347,1.9698225,1.6198413,1.3231312,0.91688657,1.1655906,1.2424728,0.79353154,0.26757038,0.057607114,-0.000286296,0.14029133,0.28748274,0.31855905,0.1139815,-0.27508304,-0.31262678,-0.38791203,-0.76052904,-1.0901568,-1.3240703,-1.7380683,-2.0116525,-2.372851,-2.4199815,-2.5264018,-2.7352438,-2.0871773,-2.0880194,-2.0872073
-2.8860257,-2.9239874,-2.937022,-2.9752998,-2.9843273,-1.9442995,-2.9709783,-2.9984806,-2.9905376,-1.9447677,-2.7393217,-2.6902232,-2.5020323,-2.2220187,-1.9450791,-1.7957656,-1.5156883,-1.207687,-0.96040034,-0.8410903,-0.5838913,0.027853727,1.0677214,1.3259292,1.8264945,2.1472807,2.2778726,2.1255407,1.7604313,0.67442334,-0.24733102,-0.9462132,-2.1906655,-2.3440964,-2.4220061,-2.6721113,-2.586762,-1.9816265,-1.320905,-0.9828508,-0.7979902,-0.61708575,0.026818901,1.2103827,1.3233879,1.1791968,0.72942877,0.18741329,-0.032668814,-0.87611145,-1.9076703,-2.1956928,-2.1165178,-2.0478199,-1.9966564,-1.9642711,-2.0851045,-2.2777376,-2.4881692,-2.574253,-2.5831814,-2.4321606,-2.013556,-1.7168298,-0.6952684,0.7218995,1.3896174,2.005866,2.4978344,2.7475414,2.837089,2.8692567,2.825136,2.7122614,2.7338076,3.2893724,4.47463,5.3594112,7.2476454,9.620967,11.297389,12.087929,12.378597,12.394385,12.347495,12.300554,12.229354,12.040152,11.862207,11.649156,11.258369,10.313034,8.945799,7.0634413,5.656212,3.8750358,1.6169467,0.42227975,0.26604748,-0.01162409,-0.77744067,-1.110966,-0.9184693,-0.78319764,-0.7602104,-0.8573793,-0.88084227,-0.8319626,-0.7957844,-0.8038354,-0.8857807,-0.9832618,-1.0902034,-1.1856276,-1.2167144,-1.236965,-1.3146985,-1.3929946,-1.4629358,-1.5209246,-1.5591764,-1.6023486,-1.6213142,-1.6090803,-1.5595013,-1.6608839,-1.9497247,-1.9257786,-1.4099882,-0.9920178,-0.8186398,-0.56987,-0.45596892,-0.50382054,-0.63780344,-0.75971955,-0.9649379,-1.1010681,-0.93475544,-0.92666537,-1.2716315,-1.5427321,-1.8342693,-2.4189095,-2.794875,-2.7824016,-2.5504167,-2.5671449,-2.6504362,-1.942464,-1.9427165,-1.9424269
-1.0871919,-1.0962749,-1.1223273,-1.1586331,-1.1770263,1.7469127,-1.0940406,-0.89816016,-0.91396207,1.7451708,-1.0366927,-1.1409757,-1.2097639,-1.1284938,-1.0657423,-1.1316478,-1.0233629,-0.907357,-0.6822679,-0.46101886,-0.33602902,-0.3856992,-0.51870185,-0.8055395,-0.97101057,-0.83912665,-0.5506374,-0.26509774,-0.03787601,-0.28418303,-0.792993,-0.7963438,-0.79494154,-0.6967255,-0.42674613,-0.4612482,-0.64490664,-1.1058106,-0.8850069,-0.6621987,-0.21040928,-0.040225253,0.24482979,0.014655963,-0.41232735,-0.5051098,-0.35098466,-0.40816125,-0.53267145,-1.1121308,-2.0208755,-2.2152061,-2.22945,-2.1892817,-2.252369,-2.286519,-2.2585537,-1.8825471,-1.2488942,-0.58139795,-0.4271558,-0.37953147,-0.35739517,-0.03227298,0.70026445,1.0548756,1.217158,1.1541712,0.9941302,0.9221096,0.8024936,0.6390054,0.47711825,0.11753556,0.019610032,0.13493782,0.20600918,0.22070818,0.18274797,0.14637382,-0.06037983,-0.33711836,-0.5984087,-0.7062597,-0.506305,-0.30586118,-0.3671375,-0.22088528,0.10144102,0.07014179,-0.22472195,-0.71755517,-1.0544958,-0.9454092,-0.64414334,-0.35042715,-0.21578282,-0.24636038,-0.2818119,-0.46131787,-0.7486033,-0.81632876,-0.75420123,-0.6522769,-0.4760937,-0.28377327,0.02319479,0.46059644,0.9416473,1.1358309,1.238751,1.2969277,1.3945123,1.5688214,1.5811253,1.5827243,1.6762397,1.9657366,2.24018,2.3782403,2.6037338,2.7525773,2.8744302,2.9783235,3.4218082,4.7961125,6.830511,9.426712,11.739084,12.430609,12.492582,12.461243,12.45579,12.497873,12.469484,12.308888,12.02498,11.72089,11.719883,11.421042,10.52591,9.715225,8.786251,7.2448373,5.882862,3.9402184,3.8027596,3.1435547,2.3936996,1.7528293,1.7555711,1.753162
-1.0544018,-1.1014911,-1.1091343,-1.1063839,-1.0559623,-1.1191149,-1.0167714,-1.058962,-1.1081139,-1.11938,-1.2695627,-1.5190142,-1.6774352,-1.7635033,-1.6578832,-1.6309524,-1.5678729,-1.4116427,-1.386594,-1.5581598,-1.6888802,-1.5534544,-1.3280593,-1.5960294,-1.2354797,-0.6998535,-0.48946607,-0.45129907,-0.6648866,-1.2837005,-1.1349463,-1.075465,-1.8664463,-1.5696341,-1.2977391,-1.1569353,-1.0550909,-0.5784539,-0.5507656,-0.7595991,-0.7788899,-0.6486249,-0.22190237,0.1735856,0.21137881,0.6008191,0.6002124,0.29430556,0.11314848,-0.58968186,-1.5407534,-1.7339321,-1.5356885,-1.3410014,-1.2253851,-1.1188233,-1.0829835,-0.98604435,-0.84776324,-0.30520168,0.47330368,2.9877667,7.2333336,9.838913,11.602253,12.830189,13.011265,12.906303,12.589321,12.20595,11.865854,11.68261,11.361954,10.632943,8.802295,6.772937,5.4027405,4.5420103,3.742344,2.6587217,2.304408,2.3600435,2.1278813,1.7343159,1.2215691,0.62107533,0.03428407,-0.30559492,-0.31320652,-0.24186976,-0.18436873,-0.2596641,-0.30456027,-0.53904,-0.6751011,-0.8879063,-1.0525995,-0.74414593,-0.26907122,0.18619603,0.16234383,-0.051255528,0.14529437,0.53159034,0.7375754,0.63303113,0.36824408,0.21726486,0.295244,0.5750079,0.77563727,0.8785765,0.894283,0.8039065,0.6959846,0.6484282,0.6448251,0.5122352,0.31660277,0.17229283,0.07780281,0.009355783,-0.04616058,-0.04003516,0.037659228,-0.032380104,-0.27325192,-0.5436128,-0.23851892,0.6390891,1.3690667,2.0133667,2.3454828,2.302805,2.1668873,2.0466924,1.5731411,1.1535337,0.72590744,0.0903511,-0.76106405,-1.6994982,-2.258846,-2.162664,-2.2390049,-1.9137561,-1.5633037,-1.5675414,-1.703101,-1.1198981,-1.1207913,-1.1200088
-3.4074578,-3.2931747,-3.241329,-3.1850996,-3.0930662,-3.114542,-3.0538402,-3.0079353,-2.9203465,-3.114569,-2.2381988,-1.8137869,-1.3928645,-1.1749046,-1.0076249,-0.9231839,-0.63278043,-0.3880853,-0.3414141,-0.42899665,-0.46700472,0.04656312,0.6028811,1.6371839,2.7791264,2.9912922,3.0111802,2.931316,2.5768604,0.87698126,-1.5047958,-3.0395627,-3.799225,-3.3786569,-3.2082694,-3.3799064,-3.5142365,-3.5554578,-3.605991,-3.5380926,-3.490341,-3.5000777,-3.5070257,-3.0201478,-3.0878706,-3.2442613,-3.5209095,-3.7966795,-3.9091048,-3.5964735,-3.032679,-2.4881382,-2.1253076,-1.8603733,-1.7357079,-1.6925724,-1.8270226,-1.8682405,-1.9393512,-1.8917255,-1.8365376,-1.6763169,-1.6528454,-2.0214884,-2.2310276,-1.9777495,-1.8063043,-1.6420405,-1.4717124,-1.422024,-1.4280578,-1.4728293,-1.5640407,-1.7447013,-1.9395343,-1.9788203,-1.8630608,-1.7805662,-1.6340473,-1.3412359,-0.840869,-0.45459384,-0.11384016,0.13501671,0.22804725,0.082044736,-0.15018511,-0.38989472,-0.5170638,-0.5556829,-0.5666462,-0.6128471,-0.6407028,-0.8135072,-1.083947,-1.5587094,-2.1299644,-2.450623,-2.586487,-2.6082287,-2.3310046,-2.1540482,-2.2967105,-2.2663987,-1.9645157,-1.6161304,-1.3820301,-1.3425965,-1.4518619,-1.4359163,-1.4024148,-1.3687607,-1.344666,-1.348018,-1.3479524,-1.3702179,-1.3367873,-1.3014185,-1.2543664,-1.1857255,-1.1428376,-1.0798689,-1.0355853,-1.0259802,-1.0737314,-1.0116025,-1.099717,-1.5637356,-2.6992674,-2.4846954,-2.3156106,-2.1719863,-2.1933782,-2.394824,-2.6009948,-2.765851,-2.8874078,-2.8891342,-2.5748785,-2.448607,-2.2482338,-2.0608797,-1.7512414,-1.7831724,-1.9795187,-2.499679,-2.7049341,-2.7666552,-2.6968098,-3.1147404,-3.11429,-3.114676
